# x-position (mm), max. princ. s. 75avg (MPa)
0.000000000000000000e+00,2.970840930938720703e+00
6.595077514648437500e-01,3.091174602508544922e+00
1.293004751205444336e+00,3.475461959838867188e+00
1.885553836822509766e+00,4.045727729797363281e+00
2.253927946090698242e+00,4.642610549926757812e+00
2.863569021224975586e+00,6.172741413116455078e+00
3.473588943481445312e+00,9.287775993347167969e+00
4.000000000000000000e+00,1.153196334838867188e+01
8.000000000000000000e+00,1.424777317047119141e+01
9.004024505615234375e+00,1.103898906707763672e+01
9.303166389465332031e+00,9.989086151123046875e+00
1.000000000000000000e+01,1.006377220153808594e+01
1.058901977539062500e+01,9.259961128234863281e+00
1.122970676422119141e+01,7.427652835845947266e+00
1.199999904632568359e+01,6.755879878997802734e+00
1.284323406219482422e+01,7.613604068756103516e+00
1.357154560089111328e+01,7.068600654602050781e+00
1.434027481079101562e+01,6.043291568756103516e+00
1.508485984802246094e+01,4.304986953735351562e+00
1.582985877990722656e+01,3.024507522583007812e+00
1.601564598083496094e+01,2.775080680847167969e+00
1.657267570495605469e+01,2.152509212493896484e+00
1.719255447387695312e+01,1.545204043388366699e+00
1.770263099670410156e+01,1.146473646163940430e+00
1.785764503479003906e+01,1.029645562171936035e+00
1.854948425292968750e+01,5.509083867073059082e-01
1.926504516601562500e+01,1.676758974790573120e-01
1.999999618530273438e+01,0.000000000000000000e+00
